request_index,prompt_id,scene_id,category,variant_type,relation,language,language_name,submitted_prompt,prompt_zh_original,expected_objects_json,absent_objects_json,prompt_file,output_png,sidecar_json,model,size,quality,request_total,status,attempts,started_at,completed_at,elapsed_seconds,returncode,stdout_log,stderr_log
1,S01_base,S01,spatial_color,base,left_of,en,English,A red cup is to the left of a blue book.,红色杯子在蓝色书的左边。,"[{""name"": ""杯子"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.32, ""y"": 0.52}, {""name"": ""书"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.68, ""y"": 0.52}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S01_base_en.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_en.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:13:47+08:00,2026-05-20T18:14:32+08:00,44.536,0,logs/S01_base_en_attempt1.stdout.txt,logs/S01_base_en_attempt1.stderr.txt
2,S01_base,S01,spatial_color,base,left_of,zh,Chinese,红色杯子在蓝色书的左边。,红色杯子在蓝色书的左边。,"[{""name"": ""杯子"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.32, ""y"": 0.52}, {""name"": ""书"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.68, ""y"": 0.52}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S01_base_zh.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_zh.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:14:32+08:00,2026-05-20T18:15:03+08:00,31.233,0,logs/S01_base_zh_attempt1.stdout.txt,logs/S01_base_zh_attempt1.stderr.txt
3,S01_base,S01,spatial_color,base,left_of,hi,Hindi,एक लाल कप एक नीली किताब के बाईं ओर है।,红色杯子在蓝色书的左边。,"[{""name"": ""杯子"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.32, ""y"": 0.52}, {""name"": ""书"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.68, ""y"": 0.52}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S01_base_hi.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_hi.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:15:03+08:00,2026-05-20T18:15:34+08:00,31.211,0,logs/S01_base_hi_attempt1.stdout.txt,logs/S01_base_hi_attempt1.stderr.txt
4,S01_base,S01,spatial_color,base,left_of,es,Spanish,Una taza roja está a la izquierda de un libro azul.,红色杯子在蓝色书的左边。,"[{""name"": ""杯子"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.32, ""y"": 0.52}, {""name"": ""书"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.68, ""y"": 0.52}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S01_base_es.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_es.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:15:34+08:00,2026-05-20T18:16:03+08:00,28.997,0,logs/S01_base_es_attempt1.stdout.txt,logs/S01_base_es_attempt1.stderr.txt
5,S01_base,S01,spatial_color,base,left_of,fr,French,Une tasse rouge est à gauche de un livre bleu.,红色杯子在蓝色书的左边。,"[{""name"": ""杯子"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.32, ""y"": 0.52}, {""name"": ""书"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.68, ""y"": 0.52}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S01_base_fr.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_fr.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:16:03+08:00,2026-05-20T18:16:27+08:00,23.873,0,logs/S01_base_fr_attempt1.stdout.txt,logs/S01_base_fr_attempt1.stderr.txt
6,S02_base,S02,spatial_color,base,right_of,en,English,A yellow ball is to the right of a green box.,黄色球在绿色盒子的右边。,"[{""name"": ""球"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.55}, {""name"": ""盒子"", ""color"": ""绿色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.34, ""y"": 0.55}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S02_base_en.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_en.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
7,S02_base,S02,spatial_color,base,right_of,zh,Chinese,黄色球在绿色盒子的右边。,黄色球在绿色盒子的右边。,"[{""name"": ""球"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.55}, {""name"": ""盒子"", ""color"": ""绿色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.34, ""y"": 0.55}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S02_base_zh.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_zh.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
8,S02_base,S02,spatial_color,base,right_of,hi,Hindi,एक पीली गेंद एक हरा डिब्बा के दाईं ओर है।,黄色球在绿色盒子的右边。,"[{""name"": ""球"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.55}, {""name"": ""盒子"", ""color"": ""绿色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.34, ""y"": 0.55}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S02_base_hi.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_hi.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
9,S02_base,S02,spatial_color,base,right_of,es,Spanish,Una pelota amarilla está a la derecha de una caja verde.,黄色球在绿色盒子的右边。,"[{""name"": ""球"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.55}, {""name"": ""盒子"", ""color"": ""绿色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.34, ""y"": 0.55}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S02_base_es.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_es.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
10,S02_base,S02,spatial_color,base,right_of,fr,French,Une balle jaune est à droite de une boîte verte.,黄色球在绿色盒子的右边。,"[{""name"": ""球"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.55}, {""name"": ""盒子"", ""color"": ""绿色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.34, ""y"": 0.55}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S02_base_fr.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_fr.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
11,S03_base,S03,spatial_color,base,above,en,English,A purple chair is above an orange table.,紫色椅子在橙色桌子的上方。,"[{""name"": ""椅子"", ""color"": ""紫色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}, {""name"": ""桌子"", ""color"": ""橙色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.5, ""y"": 0.7}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S03_base_en.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_en.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
12,S03_base,S03,spatial_color,base,above,zh,Chinese,紫色椅子在橙色桌子的上方。,紫色椅子在橙色桌子的上方。,"[{""name"": ""椅子"", ""color"": ""紫色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}, {""name"": ""桌子"", ""color"": ""橙色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.5, ""y"": 0.7}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S03_base_zh.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_zh.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
13,S03_base,S03,spatial_color,base,above,hi,Hindi,एक बैंगनी कुर्सी एक नारंगी मेज़ के ऊपर है।,紫色椅子在橙色桌子的上方。,"[{""name"": ""椅子"", ""color"": ""紫色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}, {""name"": ""桌子"", ""color"": ""橙色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.5, ""y"": 0.7}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S03_base_hi.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_hi.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
14,S03_base,S03,spatial_color,base,above,es,Spanish,Una silla morada está encima de una mesa naranja.,紫色椅子在橙色桌子的上方。,"[{""name"": ""椅子"", ""color"": ""紫色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}, {""name"": ""桌子"", ""color"": ""橙色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.5, ""y"": 0.7}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S03_base_es.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_es.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
15,S03_base,S03,spatial_color,base,above,fr,French,Une chaise violette est au-dessus de une table orange.,紫色椅子在橙色桌子的上方。,"[{""name"": ""椅子"", ""color"": ""紫色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}, {""name"": ""桌子"", ""color"": ""橙色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.5, ""y"": 0.7}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S03_base_fr.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S03_base_fr.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
16,S04_base,S04,spatial_color,base,below,en,English,A pink vase is below a black lamp.,粉色花瓶在黑色灯的下方。,"[{""name"": ""花瓶"", ""color"": ""粉色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.5, ""y"": 0.74}, {""name"": ""灯"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S04_base_en.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_en.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
17,S04_base,S04,spatial_color,base,below,zh,Chinese,粉色花瓶在黑色灯的下方。,粉色花瓶在黑色灯的下方。,"[{""name"": ""花瓶"", ""color"": ""粉色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.5, ""y"": 0.74}, {""name"": ""灯"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S04_base_zh.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_zh.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
18,S04_base,S04,spatial_color,base,below,hi,Hindi,एक गुलाबी फूलदान एक काला लैंप के नीचे है।,粉色花瓶在黑色灯的下方。,"[{""name"": ""花瓶"", ""color"": ""粉色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.5, ""y"": 0.74}, {""name"": ""灯"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S04_base_hi.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_hi.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
19,S04_base,S04,spatial_color,base,below,es,Spanish,Un jarrón rosa está debajo de una lámpara negra.,粉色花瓶在黑色灯的下方。,"[{""name"": ""花瓶"", ""color"": ""粉色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.5, ""y"": 0.74}, {""name"": ""灯"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S04_base_es.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_es.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
20,S04_base,S04,spatial_color,base,below,fr,French,Un vase rose est au-dessous de une lampe noire.,粉色花瓶在黑色灯的下方。,"[{""name"": ""花瓶"", ""color"": ""粉色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.5, ""y"": 0.74}, {""name"": ""灯"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.5, ""y"": 0.3}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S04_base_fr.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S04_base_fr.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
21,S05_base,S05,quantity_color,base,left_of,en,English,Two red apples are to the left of one green pear.,两个红色苹果在一个绿色梨的左边。,"[{""name"": ""苹果"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 2, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S05_base_en.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_en.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
22,S05_base,S05,quantity_color,base,left_of,zh,Chinese,两个红色苹果在一个绿色梨的左边。,两个红色苹果在一个绿色梨的左边。,"[{""name"": ""苹果"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 2, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S05_base_zh.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_zh.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
23,S05_base,S05,quantity_color,base,left_of,hi,Hindi,दो लाल सेब एक हरी नाशपाती के बाईं ओर हैं।,两个红色苹果在一个绿色梨的左边。,"[{""name"": ""苹果"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 2, ""x"": 0.34, ""y"": 0.52}, {""name"": ""梨"", ""color"": ""绿色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.52}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S05_base_hi.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S05_base_hi.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
