prompt_id,seed,language,language_name,prompt_zh,prompt_clip_tokens_without_suffix,positive_clip_tokens_with_suffix,suffix_added_tokens,without_suffix_over_77,clip_tokens_over_77,clip_token_excess
S01_base,2026051801,en,English,A red cup is to the left of a blue book.,14,20,6,False,False,0
S01_base,2026051802,en,English,A red cup is to the left of a blue book.,14,20,6,False,False,0
S01_synonym,2026051801,en,English,Please generate a simple image of a red cup on the left side of a blue book.,20,26,6,False,False,0
S01_synonym,2026051802,en,English,Please generate a simple image of a red cup on the left side of a blue book.,20,26,6,False,False,0
S01_word_order,2026051801,en,English,To the left of the blue book is a red cup.,14,20,6,False,False,0
S01_word_order,2026051802,en,English,To the left of the blue book is a red cup.,14,20,6,False,False,0
S01_attribute_swap,2026051801,en,English,A blue cup is to the left of a red book.,14,20,6,False,False,0
S01_attribute_swap,2026051802,en,English,A blue cup is to the left of a red book.,14,20,6,False,False,0
S02_base,2026051801,en,English,A yellow ball is to the right of a green box.,14,20,6,False,False,0
S02_base,2026051802,en,English,A yellow ball is to the right of a green box.,14,20,6,False,False,0
S02_synonym,2026051801,en,English,Please generate a simple image of a yellow ball on the right side of a green box.,20,26,6,False,False,0
S02_synonym,2026051802,en,English,Please generate a simple image of a yellow ball on the right side of a green box.,20,26,6,False,False,0
S02_word_order,2026051801,en,English,To the right of the green box is a yellow ball.,14,20,6,False,False,0
S02_word_order,2026051802,en,English,To the right of the green box is a yellow ball.,14,20,6,False,False,0
S02_attribute_swap,2026051801,en,English,A green ball is to the right of a yellow box.,14,20,6,False,False,0
S02_attribute_swap,2026051802,en,English,A green ball is to the right of a yellow box.,14,20,6,False,False,0
S03_base,2026051801,en,English,A purple chair is above an orange table.,11,17,6,False,False,0
S03_base,2026051802,en,English,A purple chair is above an orange table.,11,17,6,False,False,0
S03_synonym,2026051801,en,English,Please generate a simple image of a purple chair above an orange table.,16,22,6,False,False,0
S03_synonym,2026051802,en,English,Please generate a simple image of a purple chair above an orange table.,16,22,6,False,False,0
S03_word_order,2026051801,en,English,Above the orange table is a purple chair.,11,17,6,False,False,0
S03_word_order,2026051802,en,English,Above the orange table is a purple chair.,11,17,6,False,False,0
S03_attribute_swap,2026051801,en,English,An orange chair is above a purple table.,11,17,6,False,False,0
S03_attribute_swap,2026051802,en,English,An orange chair is above a purple table.,11,17,6,False,False,0
S04_base,2026051801,en,English,A pink vase is below a black lamp.,11,17,6,False,False,0
