request_index,prompt_id,scene_id,category,variant_type,relation,language,language_name,submitted_prompt,orig_prompt,actual_prompt,revised_prompt,prompt_extend,has_orig_prompt,has_actual_prompt,has_revised_prompt_field,has_nonempty_revised_prompt,has_prompt_extend,no_exposed_rewrite_observed,exposed_prompt_transformation_observed,revised_prompt_english_like,actual_prompt_english_like,metadata_operation_category,manual_object_presence,manual_color_binding,manual_count_match,manual_relation_match,manual_negation_match,manual_strict_success,manual_observation_status,manual_observation_note,http_status,elapsed_seconds,image_format_observed,image_url_source,output_png,sidecar_json
1,S01_base,S01,spatial_color,base,left_of,en,English,A red cup is to the left of a blue book.,A red cup is to the left of a blue book.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,13.098,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S01_base_en.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S01_base_en.json
2,S01_base,S01,spatial_color,base,left_of,zh,Chinese,红色杯子在蓝色书的左边。,红色杯子在蓝色书的左边。,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.464,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S01_base_zh.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S01_base_zh.json
3,S01_base,S01,spatial_color,base,left_of,hi,Hindi,एक लाल कप एक नीली किताब के बाईं ओर है।,एक लाल कप एक नीली किताब के बाईं ओर है।,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.437,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S01_base_hi.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S01_base_hi.json
4,S01_base,S01,spatial_color,base,left_of,es,Spanish,Una taza roja está a la izquierda de un libro azul.,Una taza roja está a la izquierda de un libro azul.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.453,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S01_base_es.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S01_base_es.json
5,S01_base,S01,spatial_color,base,left_of,fr,French,Une tasse rouge est à gauche de un livre bleu.,Une tasse rouge est à gauche de un livre bleu.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.458,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S01_base_fr.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S01_base_fr.json
6,S02_base,S02,spatial_color,base,right_of,en,English,A yellow ball is to the right of a green box.,A yellow ball is to the right of a green box.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.196,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S02_base_en.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S02_base_en.json
7,S02_base,S02,spatial_color,base,right_of,zh,Chinese,黄色球在绿色盒子的右边。,黄色球在绿色盒子的右边。,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.171,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S02_base_zh.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S02_base_zh.json
8,S02_base,S02,spatial_color,base,right_of,hi,Hindi,एक पीली गेंद एक हरा डिब्बा के दाईं ओर है।,एक पीली गेंद एक हरा डिब्बा के दाईं ओर है।,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.403,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S02_base_hi.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S02_base_hi.json
9,S02_base,S02,spatial_color,base,right_of,es,Spanish,Una pelota amarilla está a la derecha de una caja verde.,Una pelota amarilla está a la derecha de una caja verde.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,11.51,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S02_base_es.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S02_base_es.json
10,S02_base,S02,spatial_color,base,right_of,fr,French,Une balle jaune est à droite de une boîte verte.,Une balle jaune est à droite de une boîte verte.,,,,1,0,1,0,0,1,0,0,0,no_exposed_rewrite_observed,,,,,,,pending_light_review,,200,12.523,url,data[0].url,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S02_base_fr.png,PROJECT_ROOT/experiments_qwen_image_api_probe_20260521_1058/images/S02_base_fr.json
