request_index,prompt_id,scene_id,category,variant_type,relation,language,language_name,submitted_prompt,prompt_used,revised_prompt,has_revised_prompt,revised_prompt_has_non_ascii,revised_prompt_ascii_ratio,revised_prompt_english_like,prompt_chars,revised_prompt_chars,char_expansion_ratio,composition_specification,clean_background,realism_or_stylization,negative_no_text,object_relation_clarification,detail_expansion,curation_operation_count,manual_object_presence,manual_color_binding,manual_count_match,manual_relation_match,manual_negation_match,manual_strict_success,manual_observation_status,manual_observation_note,output_png,sidecar_json,generation_completed_at_local,elapsed_seconds
1,S01_base,S01,spatial_color,base,left_of,en,English,A red cup is to the left of a blue book.,A red cup is to the left of a blue book.,"A simple realistic scene on a tabletop: a red cup positioned to the left of a blue book. Clean composition, plain background, clear spatial relationship, well-lit.",1,0,1.0,1,40,163,4.075,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Red cup and blue book visible; cup is to the left of the book.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_en.json,2026-05-20T18:14:32+08:00,44.536
2,S01_base,S01,spatial_color,base,left_of,zh,Chinese,红色杯子在蓝色书的左边。,红色杯子在蓝色书的左边。,"A simple realistic tabletop scene showing a red cup positioned to the left of a blue book. Clean background, natural lighting, clear spatial relationship.",1,0,1.0,1,12,154,12.8333,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Red cup and blue book visible; cup is to the left of the book.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_zh.json,2026-05-20T18:15:03+08:00,31.233
3,S01_base,S01,spatial_color,base,left_of,hi,Hindi,एक लाल कप एक नीली किताब के बाईं ओर है।,एक लाल कप एक नीली किताब के बाईं ओर है।,"एक सरल दृश्य: एक लाल कप एक नीली किताब के बाईं ओर रखा है। साफ़ पृष्ठभूमि, वास्तविक शैली, वस्तुएँ स्पष्ट रूप से दिखें।",1,1,0.2155,0,38,116,3.0526,1,0,1,0,1,1,4,1,1,1,1,,1,light_reviewed_contact_sheet,Red cup and blue book visible; cup is to the left of the book.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_hi.json,2026-05-20T18:15:34+08:00,31.211
4,S01_base,S01,spatial_color,base,left_of,es,Spanish,Una taza roja está a la izquierda de un libro azul.,Una taza roja está a la izquierda de un libro azul.,"A simple realistic still life: a red cup positioned to the left of a blue book on a table, clean background, natural lighting.",1,0,1.0,1,51,126,2.4706,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Red cup and blue book visible; cup is to the left of the book.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_es.json,2026-05-20T18:16:03+08:00,28.997
5,S01_base,S01,spatial_color,base,left_of,fr,French,Une tasse rouge est à gauche de un livre bleu.,Une tasse rouge est à gauche de un livre bleu.,"A simple realistic scene on a tabletop: a red cup positioned to the left of a blue book. Clean composition, neutral background, clear spatial relationship, well-lit.",1,0,1.0,1,46,165,3.587,1,0,1,0,1,1,4,1,1,1,1,,1,light_reviewed_contact_sheet,Red cup and blue book visible; cup is to the left of the book.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S01_base_fr.json,2026-05-20T18:16:27+08:00,23.873
1,S02_base,S02,spatial_color,base,right_of,en,English,A yellow ball is to the right of a green box.,A yellow ball is to the right of a green box.,"Simple clean illustration: a yellow ball positioned to the right of a green box, on a plain white background. Minimalist, centered composition, flat colors.",1,0,1.0,1,45,156,3.4667,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Yellow ball and green box visible; ball is to the right of the box.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_en.json,2026-05-20T17:16:13+08:00,18.871
2,S02_base,S02,spatial_color,base,right_of,zh,Chinese,黄色球在绿色盒子的右边。,黄色球在绿色盒子的右边。,"A simple clean illustration: a yellow ball positioned to the right of a green box on a plain background. Minimalist composition, clear spatial relationship, bright colors.",1,0,1.0,1,12,171,14.25,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Yellow ball and green box visible; ball is to the right of the box.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_zh.json,2026-05-20T17:16:38+08:00,24.38
3,S02_base,S02,spatial_color,base,right_of,hi,Hindi,एक पीली गेंद एक हरा डिब्बा के दाईं ओर है।,एक पीली गेंद एक हरा डिब्बा के दाईं ओर है।,"A simple clean illustration on a plain background: a green box on the left and a yellow ball positioned to the right of the green box. Flat colors, minimal composition.",1,0,1.0,1,41,168,4.0976,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Yellow ball and green box visible; ball is to the right of the box.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_hi.json,2026-05-20T17:17:01+08:00,23.61
4,S02_base,S02,spatial_color,base,right_of,es,Spanish,Una pelota amarilla está a la derecha de una caja verde.,Una pelota amarilla está a la derecha de una caja verde.,"Simple clean illustration: a yellow ball positioned to the right of a green box on a plain light background. Minimalist composition, clear spatial relationship, no text.",1,0,1.0,1,56,169,3.0179,1,1,1,1,1,1,6,1,1,1,1,,1,light_reviewed_contact_sheet,Yellow ball and green box visible; ball is to the right of the box.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_es.json,2026-05-20T17:17:28+08:00,26.587
5,S02_base,S02,spatial_color,base,right_of,fr,French,Une balle jaune est à droite de une boîte verte.,Une balle jaune est à droite de une boîte verte.,"Simple clean illustration: a yellow ball positioned to the right of a green box, on a plain light background.",1,0,1.0,1,48,109,2.2708,1,1,1,0,1,1,5,1,1,1,1,,1,light_reviewed_contact_sheet,Yellow ball and green box visible; ball is to the right of the box.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S02_base_fr.json,2026-05-20T17:18:08+08:00,40.437
