item_id,language,language_name,prompt_used,revised_prompt,input_text_tokens,revised_prompt_chars,revised_prompt_ascii_ratio,revised_prompt_english_like
CTRL_S05_base_en,en,English,Two red apples are to the left of one green pear.,"A simple clean illustration showing two red apples positioned to the left of one green pear on a plain light background. The apples should clearly be on the left side, the pear on the right side. Minimal composition, centered, realistic but slightly stylized, no text.",59,268,1.0,True
CTRL_S05_base_zh,zh,Chinese,两个红色苹果在一个绿色梨的左边。,"A simple clean illustration showing two red apples positioned to the left of one green pear. White background, clear spacing, realistic fruit shapes, no text.",36,158,1.0,True
S01_base_en,en,English,A red cup is to the left of a blue book.,"A simple clean illustration of a red cup positioned to the left of a blue book on a plain light background, realistic object placement, centered composition.",35,157,1.0,True
S01_base_es,es,Spanish,Una taza roja está a la izquierda de un libro azul.,"A simple realistic still life on a clean table: a red cup placed to the left of a blue book. Clear spatial relationship, minimalist background, well-lit.",38,153,1.0,True
S01_base_fr,fr,French,Une tasse rouge est à gauche d'un livre bleu.,"A simple clean illustration showing a red cup positioned to the left of a blue book on a plain background. Minimal composition, clear spatial relationship, realistic colors.",37,173,1.0,True
S01_base_hi,hi,Hindi,एक लाल कप एक नीली किताब के बाईं ओर है।,"A simple realistic scene: a red cup placed to the left of a blue book on a clean tabletop, clear composition, well-lit, minimal background.",36,139,1.0,True
S01_base_zh,zh,Chinese,红色杯子在蓝色书的左边。,"A simple clean illustration showing a red cup positioned to the left of a blue book on a plain background. Natural lighting, clear object placement, minimal composition.",37,169,1.0,True
S09_base_en,en,English,"A blue ship and a yellow sun appear together, and there is no bird.","A simple clean illustration of a blue ship on the water with a bright yellow sun in the sky. The scene should clearly show only the blue ship and the yellow sun, with no bird present anywhere. Bright, cheerful colors, minimal background, balanced composition.",57,259,1.0,True
S09_base_es,es,Spanish,"Un barco azul y un sol amarillo aparecen juntos, y no hay ningún pájaro.","Ilustración simple y limpia: un barco azul navegando junto a un sol amarillo brillante en el cielo. Ambos aparecen juntos en la escena. No debe haber ningún pájaro. Estilo colorido, fondo claro, composición equilibrada.",55,219,0.9817351598173516,True
S09_base_fr,fr,French,"Un navire bleu et un soleil jaune apparaissent ensemble, et il n'y a pas d'oiseau.","Illustration simple et claire: un navire bleu sur la mer avec un grand soleil jaune dans le ciel, les deux apparaissent ensemble dans la scène. Aucun oiseau, aucun animal volant, ciel dégagé. Style propre, couleurs vives, composition équilibrée.",60,245,0.9795918367346939,True
S09_base_hi,hi,Hindi,"एक नीला जहाज़ और एक पीला सूरज साथ दिखाई दें, और कोई पक्षी न हो।","A simple clean scene showing a blue ship and a yellow sun visible together in the same frame, with no birds anywhere. Bright, clear composition, minimal background, child-friendly illustration style.",43,199,1.0,True
S09_base_zh,zh,Chinese,蓝色船和黄色太阳同时出现，不要出现鸟。,"A simple clean illustration showing a blue boat and a yellow sun appearing together in the same scene, with no birds anywhere. Bright, clear colors, minimal background, child-friendly style.",42,190,1.0,True
