prompt_id,variant_type,prompt_zh,seed,image_path,generated_success,runtime_seconds,needs_human_review,visible_binding_failure,observation,generated_success_numeric,scene_id,category,variant_type_spec,prompt_zh_spec,relation,expected_objects_json,absent_objects_json,language,language_name,generated_success_bool,positive_prompt,prompt_char_len,positive_clip_tokens,clip_tokens_over_77,clip_token_excess
S01_base,base,A red cup is to the left of a blue book.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S01_base_seed2026051801_00001_.png,True,102.985,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S01,spatial_color,base,A red cup is to the left of a blue book.,left_of,"[{""name"": ""杯子"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.32, ""y"": 0.52}, {""name"": ""书"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.68, ""y"": 0.52}]",[],en,English,True,"A red cup is to the left of a blue book., clean simple composition, best quality",40,20,False,0
S01_base,base,A red cup is to the left of a blue book.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S01_base_seed2026051802_00001_.png,True,4.015,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S01,spatial_color,base,A red cup is to the left of a blue book.,left_of,"[{""name"": ""杯子"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.32, ""y"": 0.52}, {""name"": ""书"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.68, ""y"": 0.52}]",[],en,English,True,"A red cup is to the left of a blue book., clean simple composition, best quality",40,20,False,0
S01_synonym,synonym,Please generate a simple image of a red cup on the left side of a blue book.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S01_synonym_seed2026051801_00001_.png,True,4.014,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S01,spatial_color,synonym,Please generate a simple image of a red cup on the left side of a blue book.,left_of,"[{""name"": ""杯子"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.32, ""y"": 0.52}, {""name"": ""书"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.68, ""y"": 0.52}]",[],en,English,True,"Please generate a simple image of a red cup on the left side of a blue book., clean simple composition, best quality",76,26,False,0
S01_synonym,synonym,Please generate a simple image of a red cup on the left side of a blue book.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S01_synonym_seed2026051802_00001_.png,True,4.015,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S01,spatial_color,synonym,Please generate a simple image of a red cup on the left side of a blue book.,left_of,"[{""name"": ""杯子"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.32, ""y"": 0.52}, {""name"": ""书"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.68, ""y"": 0.52}]",[],en,English,True,"Please generate a simple image of a red cup on the left side of a blue book., clean simple composition, best quality",76,26,False,0
S01_word_order,word_order,To the left of the blue book is a red cup.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S01_word_order_seed2026051801_00001_.png,True,6.02,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S01,spatial_color,word_order,To the left of the blue book is a red cup.,left_of,"[{""name"": ""杯子"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.32, ""y"": 0.52}, {""name"": ""书"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.68, ""y"": 0.52}]",[],en,English,True,"To the left of the blue book is a red cup., clean simple composition, best quality",42,20,False,0
S01_word_order,word_order,To the left of the blue book is a red cup.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S01_word_order_seed2026051802_00001_.png,True,4.017,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S01,spatial_color,word_order,To the left of the blue book is a red cup.,left_of,"[{""name"": ""杯子"", ""color"": ""红色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.32, ""y"": 0.52}, {""name"": ""书"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.68, ""y"": 0.52}]",[],en,English,True,"To the left of the blue book is a red cup., clean simple composition, best quality",42,20,False,0
S01_attribute_swap,attribute_swap,A blue cup is to the left of a red book.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S01_attribute_swap_seed2026051801_00001_.png,True,6.018,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S01,spatial_color,attribute_swap,A blue cup is to the left of a red book.,left_of,"[{""name"": ""杯子"", ""color"": ""蓝色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.32, ""y"": 0.52}, {""name"": ""书"", ""color"": ""红色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.68, ""y"": 0.52}]",[],en,English,True,"A blue cup is to the left of a red book., clean simple composition, best quality",40,20,False,0
S01_attribute_swap,attribute_swap,A blue cup is to the left of a red book.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S01_attribute_swap_seed2026051802_00001_.png,True,4.084,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S01,spatial_color,attribute_swap,A blue cup is to the left of a red book.,left_of,"[{""name"": ""杯子"", ""color"": ""蓝色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.32, ""y"": 0.52}, {""name"": ""书"", ""color"": ""红色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.68, ""y"": 0.52}]",[],en,English,True,"A blue cup is to the left of a red book., clean simple composition, best quality",40,20,False,0
S02_base,base,A yellow ball is to the right of a green box.,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S02_base_seed2026051801_00001_.png,True,6.092,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S02,spatial_color,base,A yellow ball is to the right of a green box.,right_of,"[{""name"": ""球"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.55}, {""name"": ""盒子"", ""color"": ""绿色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.34, ""y"": 0.55}]",[],en,English,True,"A yellow ball is to the right of a green box., clean simple composition, best quality",45,20,False,0
S02_base,base,A yellow ball is to the right of a green box.,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S02_base_seed2026051802_00001_.png,True,8.231,True,unknown,Queued real ComfyUI generation; no automatic semantic judge applied.,1.0,S02,spatial_color,base,A yellow ball is to the right of a green box.,right_of,"[{""name"": ""球"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.55}, {""name"": ""盒子"", ""color"": ""绿色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.34, ""y"": 0.55}]",[],en,English,True,"A yellow ball is to the right of a green box., clean simple composition, best quality",45,20,False,0
